Taquaral de Goiás ;5221007;;;;"INSERT INTO municipio_codigo VALUES('Taquaral de Goiás ','5221007');";
Teresina de Goiás ;5221080;;;;"INSERT INTO municipio_codigo VALUES('Teresina de Goiás ','5221080');";
Terezópolis de Goiás ;5221197;;;;"INSERT INTO municipio_codigo VALUES('Terezópolis de Goiás ','5221197');";
Três Ranchos ;5221304;;;;"INSERT INTO municipio_codigo VALUES('Três Ranchos ','5221304');";
Trindade ;5221403;;;;"INSERT INTO municipio_codigo VALUES('Trindade ','5221403');";
Trombas ;5221452;;;;"INSERT INTO municipio_codigo VALUES('Trombas ','5221452');";
Turvânia ;5221502;;;;"INSERT INTO municipio_codigo VALUES('Turvânia ','5221502');";
Turvelândia ;5221551;;;;"INSERT INTO municipio_codigo VALUES('Turvelândia ','5221551');";
Uirapuru ;5221577;;;;"INSERT INTO municipio_codigo VALUES('Uirapuru ','5221577');";
Uruaçu ;5221601;;;;"INSERT INTO municipio_codigo VALUES('Uruaçu ','5221601');";
Uruana ;5221700;;;;"INSERT INTO municipio_codigo VALUES('Uruana ','5221700');";
Urutaí ;5221809;;;;"INSERT INTO municipio_codigo VALUES('Urutaí ','5221809');";
Valparaíso de Goiás ;5221858;;;;"INSERT INTO municipio_codigo VALUES('Valparaíso de Goiás ','5221858');";
Varjão ;5221908;;;;"INSERT INTO municipio_codigo VALUES('Varjão ','5221908');";
Vianópolis ;5222005;;;;"INSERT INTO municipio_codigo VALUES('Vianópolis ','5222005');";
Vicentinópolis ;5222054;;;;"INSERT INTO municipio_codigo VALUES('Vicentinópolis ','5222054');";
Vila Boa ;5222203;;;;"INSERT INTO municipio_codigo VALUES('Vila Boa ','5222203');";
Vila Propício ;5222302;;;;"INSERT INTO municipio_codigo VALUES('Vila Propício ','5222302');";
